TIMEPERIOD,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 
Q;P3_S13;SCA;MIO_EUR_SCA;MT,442.6 ,459.1 ,489.9 ,509.8 ,545.6 ,570.7 ,572.4 ,588.2 ,608.9 ,634.1 ,659.2 ,686.7 
Q;P3_S13;SCA;MIO_EUR_SCA;NL,45628.7 ,46535.6 p,46603.8 p,47430.4 p,48132.1 p,48966.8 p,49314.9 p,49944.8 p,50394.8 p,50079.2 p,48857.4 p,52596.3 p
Q;P3_S13;SCA;MIO_EUR_SCA;NO,21060.3 ,21224.2 ,21565.5 ,21593.7 ,21696.8 ,21885.4 ,22167.2 ,22217.1 ,21876.7 ,21612.1 ,20669.1 ,21318.0 
Q;P3_S13;SCA;MIO_EUR_SCA;PL,21194.5 ,21688.1 ,21785.2 ,22023.6 ,22582.4 ,23228.2 ,23736.6 ,24006.5 ,24552.1 ,24729.9 ,24154.8 ,24976.2 
Q;P3_S13;SCA;MIO_EUR_SCA;PT,8552.3 ,8620.1 ,8682.6 ,8737.9 ,8793.8 ,8852.4 p,8934.0 p,9040.3 p,9181.1 p,9311.9 e,9469.1 e,9630.4 e
Q;P3_S13;SCA;MIO_EUR_SCA;RO,7772.5 ,8140.8 ,8232.3 ,9115.3 ,8856.9 ,9179.4 p,9585.6 p,9928.2 p,9940.8 p,9988.8 p,9988.3 p,9691.6 p
Q;P3_S13;SCA;MIO_EUR_SCA;RS,1660.7 ,1715.2 ,1771.2 ,1796.3 ,1811.9 ,1820.9 ,1882.7 ,1951.1 ,1998.5 ,2149.6 ,2175.5 ,2115.5 
Q;P3_S13;SCA;MIO_EUR_SCA;SE,31139.9 ,30893.0 ,30470.9 ,30432.8 ,30875.9 ,30933.9 ,30510.5 ,30632.6 ,30762.7 ,30921.2 ,30861.6 ,31926.5 
Q;P3_S13;SCA;MIO_EUR_SCA;SI,2020.6 ,2043.0 ,2080.0 ,2110.9 ,2140.0 ,2169.8 ,2208.9 ,2256.0 ,2281.3 ,2332.9 ,2351.1 ,2355.9 
Q;P3_S13;SCA;MIO_EUR_SCA;UK,110315.4 ,111342.9 ,112772.8 ,112120.5 ,114142.0 ,118672.6 ,118655.2 ,118013.7 ,127004.6 ,126525.9 ,142082.0 ,139688.9 
