TIMEPERIOD,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;LV,4163.1 ,4226.9 ,4254.7 ,4317.8 ,4401.7 ,4447.2 ,4515.9 ,4571.4 ,4549.8 ,4423.8 ,3589.2 ,4253.7 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;MT,1326.7 ,1401.9 ,1426.2 ,1481.5 ,1480.0 ,1518.7 ,1521.9 ,1580.2 ,1580.6 ,1513.4 ,1212.5 ,1473.1 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;NL,82519.8 ,84545.3 p,85138.9 p,85725.4 p,86200.6 p,87374.6 p,88322.2 p,89078.2 p,90007.8 p,87899.6 p,78236.7 p,85844.5 p
Q;P31_S14_S15;SCA;MIO_EUR_SCA;NO,39161.6 ,38872.9 ,40062.4 ,40183.5 ,40530.2 ,40414.4 ,40773.1 ,40536.4 ,39714.1 ,36879.6 ,31366.5 ,35463.1 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;PL,70605.2 ,72464.9 ,72081.9 ,72548.2 ,73759.2 ,74743.8 ,76426.8 ,76880.4 ,78210.2 ,78419.5 ,66692.5 ,77773.9 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;PT,32051.0 ,32469.9 ,32845.0 ,33130.0 ,33426.3 ,33665.1 p,33933.3 p,34218.8 p,34463.9 p,33614.9 e,29347.6 e,33095.0 e
Q;P31_S14_S15;SCA;MIO_EUR_SCA;RO,30244.8 ,30378.8 ,32141.9 ,33636.7 ,33661.4 ,33917.6 p,34881.0 p,35926.8 p,36692.5 p,35224.3 p,30971.7 p,: 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;RS,7183.7 ,7225.0 ,7366.7 ,7526.6 ,7560.1 ,7628.6 ,7787.3 ,7882.1 ,7970.2 ,8050.1 ,7250.1 ,: 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;SE,54751.4 ,54804.9 ,53414.0 ,53064.0 ,53825.9 ,53671.8 ,53486.2 ,53534.4 ,54382.9 ,52945.1 ,48807.9 ,53412.6 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;SI,5787.3 ,5844.5 ,5877.9 ,5972.9 ,6174.6 ,6206.5 ,6339.7 ,6429.0 ,6379.8 ,5880.9 ,5255.9 ,6204.4 
Q;P31_S14_S15;SCA;MIO_EUR_SCA;UK,380582.9 ,387732.2 ,394128.9 ,389722.9 ,394837.9 ,402662.4 ,404897.3 ,394871.9 ,412588.6 ,401632.9 ,299296.8 ,344101.9 
