TIMEPERIOD,2017-Q4 ,2018-Q1 ,2018-Q2 ,2018-Q3 ,2018-Q4 ,2019-Q1 ,2019-Q2 ,2019-Q3 ,2019-Q4 ,2020-Q1 ,2020-Q2 ,2020-Q3 
Q;B1GQ;SCA;MIO_EUR_SCA;LV,6866.3 ,7023.2 ,7210.9 ,7371.9 ,7501.6 ,7539.8 ,7598.8 ,7650.3 ,7660.8 ,7535.0 ,6873.8 ,7411.3 
Q;B1GQ;SCA;MIO_EUR_SCA;MT,2973.6 ,3000.9 ,3074.3 ,3221.3 ,3205.5 ,3267.8 ,3301.8 ,3443.2 ,3449.6 ,3348.4 ,2782.5 ,3155.5 
Q;B1GQ;SCA;MIO_EUR_SCA;NL,188016.3 ,190983.5 p,192238.4 p,194539.3 p,196587.8 p,199540.6 p,201403.6 p,203544.0 p,205693.8 p,203507.6 p,186740.1 p,203471.8 p
Q;B1GQ;SCA;MIO_EUR_SCA;NO,87439.7 ,89868.2 ,92538.1 ,95070.4 ,94094.8 ,91906.5 ,91423.9 ,90071.4 ,89799.0 ,84296.6 ,72436.6 ,79427.3 
Q;B1GQ;SCA;MIO_EUR_SCA;PL,120182.2 ,123598.5 ,122902.3 ,124489.7 ,126649.4 ,129417.5 ,132752.5 ,133734.6 ,136060.0 ,135983.0 ,120521.7 ,133629.1 
Q;B1GQ;SCA;MIO_EUR_SCA;PT,49797.1 ,50561.9 ,51065.0 ,51646.0 ,51911.2 ,52848.5 p,52901.6 p,53588.5 p,53962.5 p,52547.1 e,46206.4 e,51652.5 e
Q;B1GQ;SCA;MIO_EUR_SCA;RO,47910.9 ,48801.4 ,50369.3 ,51889.6 ,52593.3 ,53884.6 p,54768.0 p,56063.7 p,57748.9 p,56615.7 p,48941.4 p,52617.1 p
Q;B1GQ;SCA;MIO_EUR_SCA;RS,10207.5 ,10512.5 ,10677.5 ,10814.0 ,10848.1 ,11005.2 ,11346.3 ,11636.5 ,11893.9 ,11919.9 ,10847.5 ,11675.3 
Q;B1GQ;SCA;MIO_EUR_SCA;SE,120197.2 ,119473.0 ,116836.6 ,115542.8 ,119161.7 ,119405.1 ,117957.4 ,118286.6 ,119195.8 ,119664.8 ,110412.6 ,119417.2 
Q;B1GQ;SCA;MIO_EUR_SCA;SI,11148.7 ,11219.2 ,11428.5 ,11646.1 ,11778.6 ,11965.4 ,12055.6 ,12231.9 ,12311.1 ,11772.5 ,10783.0 ,11861.6 
Q;B1GQ;SCA;MIO_EUR_SCA;UK,591943.1 ,597562.7 ,608297.6 ,604331.2 ,610917.5 ,628578.5 ,630197.7 ,616597.0 ,648733.7 ,644673.8 ,535850.4 ,591842.3 
